"Require that the line items of the transaction correspond to those of the purchase order in Magento. This may result in the wallee payment methods not being available to the customer in certain cases. In return, it is ensured that only correct data is transmitted to wallee.","Richiedi che le voci della transazione corrispondano a quelle dell'ordine di acquisto in Magento. Ciò potrebbe comportare che i metodi di pagamento wallee non siano disponibili per il cliente in alcuni casi. In cambio, è garantito che solo i dati corretti vengano trasmessi a wallee."
"Send Order Email","Invia e-mail d'ordine"
"Send Refund Request","Invia richiesta di rimborso"
"Send the Magento store's order email.","Invia l'e-mail dell'ordine del negozio Magento."
"Show Description","Mostra descrizione"
"Show Image","Mostra immagine"
"Show the payment method's description on the checkout page.","Mostra la descrizione dei metodi di pagamento nella pagina di pagamento."
"Show the payment method's image on the checkout page.","Mostra l'immagine del metodo di pagamento nella pagina di pagamento."
"Sort Order","Ordinamento"
"Space ID required","Space ID richiesto"
"Space Id","Space ID"
"Space View Id","Space View-ID"
"Successfully refunded.","Rimborsato con successo."
"Synchronizing with wallee failed: %1","Sincronizzazione con wallee non riuscita: %1"
"The Application User needs to have full permissions in all spaces this shop is linked to.","L'utente dell'applicazione deve disporre delle autorizzazioni complete in tutti gli spazi a cui questo negozio è collegato."
"The capture has been registered. The invoice will be created, as soon as the capture is done.","La cattura è stata registrata. La fattura verrà creata non appena l'acquisizione sarà completata."
"The capture has been requested but could not be completed yet. The invoice will be updated, as soon as the capture is done.","La cattura è stata richiesta ma non è stato ancora possibile completarla. La fattura verrà aggiornata non appena l'acquisizione sarà completata."
"The capture of the invoice failed on the gateway: %1.","Acquisizione della fattura non riuscita sul gateway: %1"
"The credit memo has been created automatically.","La nota di credito è stata creata automaticamente."
"The customer can be charged by using an existing token. If left empty, no token is used.","Il cliente può essere addebitato utilizzando un token esistente. Se lasciato vuoto, non viene utilizzato alcun token."
"The description to set on the shipping line item.","La descrizione da impostare nell'elemento pubblicitario di spedizione."
"The invoice cannot be cancelled as its capture has already been requested.","La fattura non può essere annullata in quanto ne è già stata richiesta l'acquisizione."
"The invoice cannot be cancelled.","La fattura non può essere annullata."
"The invoice cannot be created.","Impossibile creare la fattura."
"The order can be fulfilled now.","L'ordine può essere evaso ora."
"The order failed because the payment timed out.","L'ordine non è riuscito perché il pagamento è scaduto."
"The order ID has been provided.","L'ID dell'ordine è stato fornito."
"The order should not be fulfilled yet, as the payment is not guaranteed.","L'ordine non deve essere ancora evaso, in quanto il pagamento non è garantito."
"The payment could not be processed. Please try again.","Impossibile elaborare il pagamento. Per favore riprova."
"The payment process could not have been finished successfully.","Il processo di pagamento potrebbe non essere stato completato correttamente."
"The payment timed out. Please reload the page and submit the order again.", "Il pagamento è scaduto. Ricarica la pagina e invia nuovamente l'ordine."
"The refund cannot be executed as the transaction's line items do not match the order's.","Il rimborso non può essere eseguito in quanto le voci della transazione non corrispondono a quelle dell'ordine."
"The refund could not be found.","Impossibile trovare il rimborso."
"The refund of %1 failed on the gateway: %2","Il rimborso di %1 non è riuscito sul gateway: %2"
"The refund was requested successfully, but is still pending on the gateway.","Il rimborso è stato richiesto con successo, ma è ancora in sospeso sul gateway."
"The Space View Id allows to control the styling of the payment form and the payment page. It allows in multistore setups to adapt the payment form to different styling per substore without requiring a dedicated space.","Lo Space View Id consente di controllare lo stile del modulo di pagamento e della pagina di pagamento. Consente nelle configurazioni multistore di adattare il modulo di pagamento a stili diversi per sottonegozio senza richiedere uno spazio dedicato."
"The transaction invoice could not be found.","Impossibile trovare la fattura della transazione."
"The void of the payment failed on the gateway: %1","L'annullamento del pagamento non è riuscito sul gateway: %1"
"The wallee security token is invalid.","Il token di sicurezza wallee non è valido."
"The wallee security token needs to be set on the order to build the URL.","Il token di sicurezza wallee deve essere impostato nell'ordine per creare l'URL."
"There are <a href=""%1"" target=""_blank"">%2 manual tasks</a> that need your attention.","Ci sono <a href=""%1"" target=""_blank"">%2 attività manuali</a>, che richiedono la tua attenzione."
"There has been an error while sending the refund to the gateway.","Si è verificato un errore durante l'invio del rimborso al gateway."
"There is a <a href=""%1"" target=""_blank"">manual task</a> that needs your attention.","C'è <a href=""%1"" target=""_blank"">un'attività manuale</a>, che richiede la tua attenzione."
"There seems to have been a problem with your order. However, the payment was successful. Please contact us.","Sembra che si sia verificato un problema con il tuo ordine. Tuttavia, il pagamento è andato a buon fine. Ci contatti per favore."
"This order has a pending refund request.","Questo ordine ha una richiesta di rimborso in sospeso."
"Title","Titolo"
"To use this extension, a wallee account is required. Sign up on <a href=""https://www.wallee.com/"" target=""_blank"">https://www.wallee.com</a>.","Per utilizzare questa estensione, è necessario un account wallee. Iscriviti su <a href=""https://www.wallee.com/"" target=""_blank"">https://www.wallee.com</a>."
"Token ID required","ID token richiesto"
"Token:","Token:"
"Transaction ID required","ID transazione richiesto"
"Transaction ID: ""%1""","ID transazione: ""%1"""
"Transaction State","Stato della transazione"
"Transaction","Transazione"
"Unknown State","Stato sconosciuto"
"Use the custom description for the shipping line item.","Utilizza la descrizione personalizzata per l'elemento pubblicitario di spedizione."
"User Id","User Id"
"View in wallee","Visualizza in wallee"
"Voided","Annullato"
"wallee Payment Methods","wallee Payment Methods"
"wallee Payment Tokens","wallee Tokens"
"wallee Payment","wallee Payment"
"wallee SDK Version","wallee SDK-Version"
"Failing authorization in store failed: %1.","L'autorizzazione in negozio non è riuscita: %1."
"The capture of the invoice failed in the store: %1.","L'acquisizione della fattura nel negozio non è riuscita: %1."
"The associated authorization transaction for the payment could not be found.","Impossibile trovare la transazione di autorizzazione associata per il pagamento."
"Enabled: this can impact certain payment methods and slow down the payment process","Abilitato: può influire su alcuni metodi di pagamento e rallentare il processo di pagamento."
